Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,asymmetric,0.61,0.36932758918500785
75% Corpus,7,asymmetric,0.9099999999999999,0.3168091124776784
75% Corpus,7,asymmetric,symmetric,0.34998106729948486
75% Corpus,8,0.01,0.01,0.30786204624369373
75% Corpus,8,0.01,0.31,0.3652083342170899
75% Corpus,8,0.01,0.61,0.3563624074334259
75% Corpus,8,0.01,0.9099999999999999,0.33767553634395503
75% Corpus,8,0.01,symmetric,0.31453754696985187
75% Corpus,8,0.31,0.01,0.33051626137793266
75% Corpus,8,0.31,0.31,0.3423868258223887
75% Corpus,8,0.31,0.61,0.36411488976617984
75% Corpus,8,0.31,0.9099999999999999,0.3256827194450184
75% Corpus,8,0.31,symmetric,0.3180913227954881
75% Corpus,8,0.61,0.01,0.3582225229509047
75% Corpus,8,0.61,0.31,0.3555567484525026
75% Corpus,8,0.61,0.61,0.3789887847776236
75% Corpus,8,0.61,0.9099999999999999,0.31457157461788393
75% Corpus,8,0.61,symmetric,0.359161512462365
75% Corpus,8,0.9099999999999999,0.01,0.3681636305352419
75% Corpus,8,0.9099999999999999,0.31,0.34844100028104946
75% Corpus,8,0.9099999999999999,0.61,0.34113249557027014
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.343159441155042
75% Corpus,8,0.9099999999999999,symmetric,0.3290371990834207
75% Corpus,8,symmetric,0.01,0.3198464174155648
75% Corpus,8,symmetric,0.31,0.36222585388673667
75% Corpus,8,symmetric,0.61,0.3917971012611856
75% Corpus,8,symmetric,0.9099999999999999,0.32517434604471657
75% Corpus,8,symmetric,symmetric,0.31904468153122983
75% Corpus,8,asymmetric,0.01,0.3344333233027893
75% Corpus,8,asymmetric,0.31,0.3826044310308304
75% Corpus,8,asymmetric,0.61,0.39850578225091327
75% Corpus,8,asymmetric,0.9099999999999999,0.3327550418521028
75% Corpus,8,asymmetric,symmetric,0.3318612139864226
75% Corpus,9,0.01,0.01,0.32761641190305085
75% Corpus,9,0.01,0.31,0.35750503765912417
75% Corpus,9,0.01,0.61,0.3575670603853316
75% Corpus,9,0.01,0.9099999999999999,0.3333155359053792
75% Corpus,9,0.01,symmetric,0.31596807083479206
75% Corpus,9,0.31,0.01,0.3208585971042898
75% Corpus,9,0.31,0.31,0.3640443440936696
75% Corpus,9,0.31,0.61,0.3843505979338284
75% Corpus,9,0.31,0.9099999999999999,0.31081420950669947
75% Corpus,9,0.31,symmetric,0.33829720767333316
75% Corpus,9,0.61,0.01,0.3272758197070036
75% Corpus,9,0.61,0.31,0.37784891218209443
75% Corpus,9,0.61,0.61,0.32832621316425303
75% Corpus,9,0.61,0.9099999999999999,0.3350459198961279
75% Corpus,9,0.61,symmetric,0.3272880636025193
75% Corpus,9,0.9099999999999999,0.01,0.32826647223249394
75% Corpus,9,0.9099999999999999,0.31,0.33155557323177176
75% Corpus,9,0.9099999999999999,0.61,0.3292660853085607
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3208637202637667
75% Corpus,9,0.9099999999999999,symmetric,0.32378291369238926
